Date,Symbol,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2021-02-26,TCS,2602.067563932443,2612.924249244175,2531.7414135558906,2544.312255859375,5553153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,TCS,2572.179061062959,2606.463060851563,2550.9054425793493,2570.5966796875,3265871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,TCS,2602.06768713035,2659.2076870166584,2591.518764074416,2642.81298828125,3306469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,TCS,2667.9987284991294,2693.49196181922,2634.505808531232,2689.1845703125,3509857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,TCS,2657.4500710919388,2708.8320846205593,2651.3405281757014,2680.92138671875,3916760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,TCS,2651.384719560967,2692.7891252045097,2634.2427148670195,2644.30810546875,3203686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,TCS,2651.29553142147,2666.239836472586,2633.7139960672166,2643.33984375,2003125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,TCS,2643.3403896236246,2696.0410098074835,2630.2862256983,2682.019775390625,1942397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,TCS,2703.1616229327706,2719.160780509051,2689.975468674562,2699.601318359375,3053778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,TCS,2703.1621358997736,2740.0833748291366,2673.58127674779,2688.173828125,2938317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,TCS,2673.2726511372366,2724.2591074890815,2673.2726511372366,2695.38134765625,3097083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,TCS,2689.976023578424,2761.181271261382,2689.976023578424,2733.973876953125,4894756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,TCS,2729.534572883893,2773.4884307403163,2712.2167958121513,2736.523193359375,3838390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,TCS,2747.9502770038603,2765.9713526955748,2625.8465865790577,2669.31689453125,3656306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,TCS,2663.6030408803085,2724.2593477518403,2641.626118100768,2681.3603515625,5776626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,TCS,2680.041887934514,2759.818122141022,2653.6255823341885,2751.203125,2821646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,TCS,2760.3014724104632,2785.794702569668,2745.225389387804,2762.587158203125,3305973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,TCS,2734.984264961801,2771.1144147890072,2734.940268188996,2743.687255859375,2207104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,TCS,2735.8634254319945,2752.2583404265592,2681.1848783769724,2694.2392578125,3179786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,TCS,2716.918980645141,2740.9618201102044,2675.075048275299,2695.953125,3697370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,TCS,2710.194810310339,2802.893451378615,2690.7671197572026,2776.609130859375,4694008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,TCS,2773.487713339265,2817.441559826417,2753.2689439551755,2793.57470703125,3530069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
